,llama_prompt,llama_response,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,mistral_coherence_l,llama_coherence_m,mistral_coherence_m,llama_coherence_l,mistral_coherence_g,llama_coherence_g,llama_co_score,mistral_co_score
309,Can you confirm the details of our recent transaction?,I have no documents on this transaction.,6,3,Have you processed the payment for the invoice number 546789?,I have no documents on this transaction.,3,2,I have no documents on this transaction.,6,mid,5.0,7,low,low,low,low,low,medium,1.4,1.0
310,Are we ready to migrate our database infrastructure?,Should systems manage the migration?,7,3,The EU is planning to move several IT systems to the cloud. Do you think we should outsource this task?,Should systems manage the migration?,8,2,Should systems manage the migration?,8,high,8.0,5,low,medium,low,high,low,low,1.8,1.4
311,Is Carol planning on attending the school reunion?,Is Carol going back to swaps?,8,3,I saw Carol at the train station today.,Is Carol going back to swaps?,5,2,Is Carol going back to swaps?,5,mid,2.0,6,medium,medium,low,low,low,low,1.4,1.8
312,Are you ready for the weekend?,I can't wait!,8,1,Have you read the new Harry Potter book yet?,I can't wait!,10,2,I can't wait!,6,mid,1.0,3,low,low,low,low,low,low,1.0,1.0
313,How do you make the most of your jury duty time?,Shelley (making good use of my jury duty time),8,3,Have you finished reading 'To Kill a Mockingbird'?,Shelley (making good use of my jury duty time) – I just started the second read!,7,2,Shelley (making good use of my jury duty time),1,low,4.0,9,low,high,medium,low,low,medium,2.2,2.0
314,Are you prepared for our quarterly review?,Need before board meeting.,6,3,Do we have the latest sales figures?,Need before board meeting.,9,2,Need before board meeting.,7,high,0.0,4,medium,medium,low,high,low,medium,2.2,1.8
315,Did you ever get lost on the way to Bowen?,I've got a call into Bowen.,5,1,There's an issue with the water pipes in your apartment.,I've got a call into Bowen.,5,2,I've got a call into Bowen.,5,mid,2.0,6,medium,high,medium,high,low,low,2.2,2.4
316,who painted the ceiling of the sistine chapel?,I think that is the right answer.,7,3,What is the capital city of France?,I think that is the right answer: Paris,10,2,I think that is the right answer.,8,high,0.0,7,low,medium,low,low,low,low,1.4,1.4
317,Can you remind me what's on your schedule for tomorrow?,Next time ask Jim to call me.,6,2,I need your expert advice on this legal matter.,Next time ask Jim to call me.,5,3,Next time ask Jim to call me.,7,high,3.0,7,low,low,low,high,low,low,1.4,1.0
318,Why do companies prioritize customer segmentation?,"Target customers: Munis, Wapa, BPA.",4,3,Who are the primary utility companies in Pennsylvania?,"Target customers: Munis, Wapa, BPA.",7,2,"Target customers: Munis, Wapa, BPA.",1,low,2.0,5,low,medium,low,low,low,low,1.4,1.4
319,I need to discuss the project deadline with you,Can I meet with you at 4:00?,6,1,I need to discuss some important business matters with you.,Can I meet with you at 4:00?,8,2,Can I meet with you at 4:00?,2,low,3.0,7,low,medium,low,high,low,medium,2.2,1.4
320,I just watched the new Marvel movie and I loved it!,I'm glad you liked it.,8,2,I've finished reading your novel. What did you think of it?,I'm glad you liked it.,8,2,I'm glad you liked it.,8,high,2.0,5,low,medium,medium,high,low,low,1.8,1.6
321,I really appreciate everything you've done for me,Thanks for all your support.,8,1,I've been really struggling with this project lately.,Thanks for all your support.,10,2,Thanks for all your support.,6,mid,2.0,5,low,medium,low,low,low,medium,1.8,1.4
322,Did you receive the new design for our company's logo?,This looks fine.,6,2,Have you finished preparing the budget report for next quarter?,This looks fine.,8,2,This looks fine.,8,high,0.0,3,low,medium,medium,low,low,low,1.4,1.6
323,Are you free to grab lunch today?,I am out of town on business.,6,2,Do you know if John will be in the office tomorrow?,I am out of town on business.,5,2,I am out of town on business.,5,mid,0.0,7,low,low,low,high,low,low,1.4,1.0
324,Have you seen the latest project report from Sarah?,I've never worked with her.,6,3,Have you met the new project manager?,I've never worked with her.,8,2,I've never worked with her.,9,high,3.0,5,medium,low,low,high,high,low,1.4,1.4
325,What's the format for submitting my report?,Get with Mary for format.,6,3,Have you seen the new Mary Poppins movie yet?,Get with Mary for format.,5,3,Get with Mary for format.,9,high,1.0,5,low,low,low,medium,low,high,2.0,1.0
326,why did the software update fail?,Explain versus redo.,6,3,Have you finished encoding the new algorithm?,Explain versus redo.,5,2,Explain versus redo.,7,high,1.0,3,low,high,medium,low,low,low,1.8,2.0
327,I've been feeling quite under the weather lately.,I hope you are feeling better.,8,2,"I've been sick for days, do you think it's the flu?",I hope you are feeling better.,10,2,I hope you are feeling better.,8,high,2.0,6,low,high,low,high,low,medium,2.6,1.8
328,What is the meeting agenda for tomorrow?,I will be in the office tomorrow.,8,2,Have you confirmed your attendance at the team meeting tomorrow?,I will be in the office tomorrow.,10,2,I will be in the office tomorrow.,6,mid,4.0,7,low,medium,low,high,low,low,1.8,1.4
329,Did Sarah finally get the new tree she was eyeing?,I'm glad she likes her tree.,4,2,Sara showed her friend the garden they planted last week.,I'm glad she likes her tree.,10,1,I'm glad she likes her tree.,8,high,0.0,6,low,high,medium,high,low,low,2.2,2.0
330,can you provide the details of my insurance policy?,Are you getting all the information you need?,6,2,I see you've ordered a new laptop.,Are you getting all the information you need?,8,2,Are you getting all the information you need?,10,high,5.0,8,low,medium,medium,high,low,low,1.8,1.6
331,I've finally booked my flights for the weekend getaway!,Have a great trip.,8,2,I'm leaving for my vacation in Bali tomorrow.,Have a great trip.,10,2,Have a great trip.,9,high,0.0,4,low,high,low,low,high,high,2.6,1.8
332,Did you get the meeting notes from yesterday?,Tried reaching you earlier.,8,2,Can we discuss the budget for next month?,Tried reaching you earlier.,8,2,Tried reaching you earlier.,10,high,12.0,4,low,low,low,low,low,low,1.0,1.0
333,Are we on track to meet the deadline for the project?,I would expect an answer ASAP.,6,1,Have you finished reviewing the financial reports for Q3?,I would expect an answer ASAP.,8,2,I would expect an answer ASAP.,7,high,2.0,6,low,high,medium,high,low,low,2.2,2.0
334,Are you preparing for the trip?,Going home to pack and then headed to Dallas.,6,2,Have you heard about the last-minute flight deal to Dallas?,Going home to pack and then headed to Dallas.,5,2,Going home to pack and then headed to Dallas.,5,mid,4.0,9,low,medium,low,high,high,medium,2.2,1.4
335,I've outlined some measures to reduce office noise and improve productivity. What do you think?,I think your outlined measures sound fine.,7,2,Have you considered implementing a two-step verification process for our company's email accounts?,I think your outlined measures sound fine.,8,2,I think your outlined measures sound fine.,7,high,3.0,7,low,medium,medium,low,low,low,1.4,1.6
336,I need to know what's going on with the new project timeline.,Did you talk to Ava this morning?,8,2,I saw her reading Ava's diary this morning,Did you talk to Ava this morning?,7,2,Did you talk to Ava this morning?,10,high,0.0,7,low,medium,low,medium,medium,low,1.6,1.4
337,I'm stuck with all these forms to fill out,We have lots of paper stuff.,8,2,Do you have many documents or files to organize?,We have lots of paper stuff.,8,2,We have lots of paper stuff.,7,high,0.0,6,medium,medium,medium,low,low,low,1.4,2.0
338,can we discuss the project timeline early next week?,We can discuss options early next week.,6,2,Shall we schedule a meeting to discuss the marketing strategy for Q3?,We can discuss options early next week.,8,2,We can discuss options early next week.,7,high,3.0,7,medium,low,low,low,medium,medium,1.4,1.4
339,I'm experiencing trouble with my new smartphone. Can you help me troubleshoot?,Can you help?,8,3,"I've spilled coffee on my phone, can it be fixed?",Can you help?,8,2,Can you help?,10,high,1.0,3,low,high,low,high,low,medium,2.6,1.8
340,the news about the company's financial situation is really bad,It's not looking too good is it?,8,2,Stock prices are dropping dramatically today.,It's not looking too good is it?,8,2,It's not looking too good is it?,9,high,0.0,7,low,high,medium,high,medium,high,3.0,2.0
341,did you hear about the surprise announcement?,Has anyone else heard anything?,8,2,Have you heard the latest news about the company merger?,Has anyone else heard anything?,8,2,Has anyone else heard anything?,8,high,2.0,5,medium,medium,medium,high,medium,medium,2.2,2.0
342,I've been feeling really unwell lately,I went to see a doctor.,7,2,Have you felt unwell lately?,I went to see a doctor.,8,2,I went to see a doctor.,3,low,1.0,6,medium,high,high,high,low,medium,2.6,2.6
343,How was your trip to California?,"Ava, LA was Socal meeting.",6,2,Did you attend the marketing conference in San Francisco last week?,"Ava, LA was Socal meeting.",0,3,"Ava, LA was Socal meeting.",1,low,2.0,5,low,,low,low,low,low,1.0,1.0
344,it's freezing outside isn't it?,Hope you don't freeze tonight.,8,2,I forgot my scarf at home.,Hope you don't freeze tonight.,9,1,Hope you don't freeze tonight.,6,mid,2.0,5,low,high,medium,high,medium,high,3.0,2.0
345,Are you planning on making dinner tonight?,"We have beans, plus I will be cooking trash.",4,3,Do you have any vegetarian dishes planned for dinner?,"We have beans, plus I will be cooking trash.",5,2,"We have beans, plus I will be cooking trash.",4,mid,4.0,9,low,high,high,high,low,low,2.2,2.2
346,Have you seen the latest sales figures for Q2?,Did you see Laura's message?,8,2,I just received an email from our boss about Laura's project.,Did you see Laura's message?,8,2,Did you see Laura's message.?,6,mid,2.0,5,low,low,low,high,low,low,1.4,1.0
347,it's finally over?,Is it over?,8,2,I see you've cancelled all our plans for the weekend.,Is it over?,8,2,Is it over?,10,high,1.0,3,medium,medium,low,low,high,medium,1.8,1.8
348,Did you receive the package?,I'll presume it is dead until I hear otherwise.,7,3,I found the fish you asked me to buy dead on arrival.,I'll presume it is dead until I hear otherwise.,3,1,I'll presume it is dead until I hear otherwise.,2,low,4.0,9,low,high,low,high,low,low,2.2,1.8
349,Can you get me the latest movie tickets?,I'll get you one.,7,2,Do you have a moment to pick up some fresh flowers for me?,I'll get you one.,8,1,I'll get you one.,8,high,0.0,4,low,low,low,high,low,low,1.4,1.0
350,I just saw the CEO of our company wearing sneakers with a suit,Seems unusual to me.,8,2,Why is the sky suddenly orange at noon?,Seems unusual to me.,5,2,Seems unusual to me.,6,mid,0.0,4,low,low,low,high,low,medium,1.8,1.0
351,can we meet up at 5 pm today?,OK with me.,8,1,Do you want to meet for lunch tomorrow at the new Italian place?,OK with me.,10,2,OK with me.,8,high,1.0,3,medium,medium,medium,low,high,medium,1.8,2.0
352,Did you find Steve's address book?,I just tracked down Steve.,8,2,Have you found out where Steve has gone for his vacation?,I just tracked down Steve.,8,2,I just tracked down Steve.,7,high,2.0,5,low,high,low,high,low,low,2.2,1.8
353,What happened to Arthur Andersen's accounting files?,I thought it had gone to all of Enron.,6,2,Did you receive the latest layoff notice from Enron?,I thought it had gone to all of Enron.,5,2,I thought it had gone to all of Enron.,6,mid,4.0,9,low,medium,low,high,low,low,1.8,1.4
354,The project deadline has been pushed back to next quarter,What will happen to this project?,8,3,The budget for the project has been suddenly cut in half.,What will happen to this project?,5,3,What will happen to this project?,7,high,2.0,6,medium,low,low,low,high,high,1.8,1.4
355,Are you still looking for gifts for the kids?,Just bought out Toys R Us.,8,2,Have you heard the news about the closing retail stores?,Just bought out Toys R Us.,6,1,Just bought out Toys R Us.,6,mid,2.0,6,low,high,medium,high,low,low,2.2,2.0
356,Is Mark Ellenberg off for the holiday?,Mark Ellenberg is off for Passover.,8,2,Have you heard when Mark Ellenberg will be back from his religious vacation?,Mark Ellenberg is off for Passover.,5,2,Mark Ellenberg is off for Passover.,3,low,3.0,6,high,high,low,high,high,high,3.0,2.6
357,What's the agenda for our upcoming meeting?,Conference call with partners on Tuesday.,6,2,Have you scheduled the next business meeting?,Conference call with partners on Tuesday.,7,2,Conference call with partners on Tuesday.,5,mid,10.0,6,medium,medium,low,high,low,medium,2.2,1.8
358,did you forget to wake me up for my meeting?,I saw your 5:30 AM message!,4,1,Did you finish the report for tomorrow's meeting?,I saw your 5:30 AM message!,10,2,I saw your 5:30 AM message!,0,low,2.0,6,low,high,medium,low,low,medium,2.2,2.0
359,We have a critical deadline to meet tomorrow and I've just received an update that the package will be delayed.,Yes we need to get it in ASAP.,8,1,The supplier informed us that they're discontinuing production of our usual parts.,Yes we need to get it in ASAP.,7,2,Yes we need to get it in ASAP.,5,mid,3.0,8,medium,high,low,high,low,medium,2.6,2.2
360,Are you going to meet the deadline?,I am snowed under and out of the office.,8,2,John hasn't responded to your email yet. Do you think we should follow up?,I am snowed under and out of the office.,3,2,I am snowed under and out of the office.,7,high,4.0,9,low,high,medium,low,low,low,1.8,2.0
361,Will you be in the office tomorrow for our meeting?,I plan to be in the office tomorrow.,8,1,Have you finalized the budget for next quarter?,I plan to be in the office tomorrow.,8,2,I plan to be in the office tomorrow.,7,high,4.0,8,low,high,low,high,low,high,3.0,1.8
362,our quarterly earnings report has been published.,Press release issued.,8,2,Have you received the latest update from the company board?,Press release issued.,7,3,Press release issued.,6,mid,10.0,3,low,high,low,high,low,medium,2.6,1.8
363,Can the following words be classified as either Tagged Words or Non-Tagged Grammar?,Both TW and NNG.,6,3,Have you finished reading the TW and NNG reports?,Both TW and NNG.,10,2,Both TW and NNG.,6,mid,0.0,4,low,medium,high,low,low,low,1.4,1.8
364,Can you confirm your availability for the 1PM meeting on Friday?,I am unavailable for the 1PM meeting.,8,1,I've scheduled a meeting for us at 1PM tomorrow. Is that convenient for you?,I am unavailable for the 1PM meeting.,8,2,I am unavailable for the 1PM meeting.,3,low,4.0,7,low,low,low,low,low,medium,1.4,1.0
365,where are we meeting for lunch today?,Let me know.,8,2,Can you pick up milk and eggs on your way home?,Let me know.,10,2,Let me know.,6,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
366,I've just spilled coffee all over my new shirt!,What a mess.,6,2,The kitchen looks like a bomb went off in it.,What a mess.,9,1,What a mess.,5,mid,1.0,3,medium,low,low,high,high,medium,1.8,1.4
367,Can you please get in touch with the new client?,I'll just have her call Tracy.,6,2,I need to confirm some details about the event with Sarah.,I'll just have her call Tracy.,5,2,I'll just have her call Tracy.,5,mid,2.0,6,medium,high,medium,high,low,low,2.2,2.4
368,I'm really excited for our lunch meeting tomorrow!,I am looking forward to the salad.,6,1,I'll make us a fresh salad for lunch today.,I am looking forward to the salad.,10,1,I am looking forward to the salad.,7,high,3.0,7,medium,high,medium,low,high,low,1.8,2.4
369,Have you guys decided on holiday plans yet?,We're planning to go to West Virginia for Christmas.,6,2,Have you decided on your holiday destination for Christmas?,We're planning to go to West Virginia for Christmas.,7,2,We're planning to go to West Virginia for Christmas.,3,low,4.0,9,medium,identical,high,high,high,high,2.2,1.8
370,are you planning on doing anything special for Valentine's Day?,Happy Valentine's Day,8,3,I've received a beautiful red rose today,Happy Valentine's Day,10,2,Happy Valentine's Day,2,low,10.0,3,low,high,high,high,high,low,2.2,2.2
371,what's the difference between EOTC and EOTT?,Is that EOTT or the company that owns it?,6,3,I just read an article about a new tech startup in Silicon Valley.,Is that EOTT or the company that owns it?,8,2,Is that EOTT or the company that owns it?,7,high,2.0,9,medium,medium,low,low,low,low,1.4,1.8
372,I just got the worst news about my job today,What's going on?,8,2,I see smoke coming from your roof.,What's going on?,7,2,What's going on?,8,high,1.0,3,medium,medium,low,low,high,high,2.2,1.8
373,I've been having some issues with my insurance policy,You can talk to Becky!,9,2,I need help with a problem related to gardening.,You can talk to Becky!,5,2,You can talk to Becky!,9,high,2.0,5,low,low,low,high,low,low,1.4,1.0
374,What was the outcome of your meeting with potential investors in Silicon Valley?,Met with partners in San Francisco.,4,2,Have you heard about the upcoming tech conference in San Francisco?,Met with partners in San Francisco.,5,2,Met with partners in San Francisco.,4,mid,5.0,6,low,low,low,high,low,low,1.4,1.0
375,Are you going to the concert tonight?,Daniel A. Muschar,4,3,Have you read Daniel A. Muschar's latest research paper on NLP?,Daniel A. Muschar,1,3,Daniel A. Muschar,7,high,2.0,3,low,low,low,high,low,low,1.4,1.0
376,I think we're running late for the meeting,See you later,8,2,Let's meet up tomorrow at the park to discuss the project.,See you later.,10,2,"See you later,",6,mid,1.0,3,low,low,low,high,low,low,1.4,1.0
377,How did you meet Duran?,I talked to Duran.,8,3,Have you spoken with Duran about the upcoming project proposal?,I talked to Duran.,10,2,I talked to Duran.,8,high,1.0,4,low,low,medium,high,medium,low,1.4,1.2
378,Did you agree to the new terms and conditions?,I agreed terms with Greg.,9,2,Did you finish negotiating the deal with Greg?,I agreed terms with Greg.,9,2,I agreed terms with Greg.,8,high,2.0,5,medium,high,medium,low,high,low,1.8,2.4
379,How's your job search going?,Going well here.,8,2,How's the progress on your project?,Going well here.,10,2,Going well here.,9,high,1.0,3,low,medium,medium,high,low,low,1.8,1.6
380,Where can I find information about the new employee onboarding process?,I'll see what I can find out for you.,8,1,Can you check if the company's annual report from last year is available online?,I'll see what I can find out for you.,8,2,I'll see what I can find out for you.,5,mid,0.0,9,low,low,low,high,medium,medium,1.8,1.0
381,We should meet up with Ava to plan our trip next weekend,What did you and Ava decide to do?,8,3,We finalized the plans for our weekend getaway.,What did you and Ava decide to do?,7,2,What did you and Ava decide to do?,6,mid,0.0,8,medium,high,medium,low,high,low,1.8,2.4
382,are you prepared to face the legal consequences?,I will talk with Jim Fallon and lawyers.,8,3,Susan mentioned she signed a contract without legal advice.,I will talk with Jim Fallon and lawyers.,8,2,I will talk with Jim Fallon and lawyers.,4,mid,4.0,8,medium,high,medium,high,low,medium,2.6,2.4
383,are you having fun?,I am at the lake.,8,1,Have you gone to the lake where we used to have picnics?,I am at the lake.,10,2,I am at the lake.,8,high,2.0,5,medium,medium,medium,low,high,low,1.4,2.0
384,Why did he move to Deerfield?,I wish he would leave Deerfield alone.,8,3,Susan mentioned she's moving to Boston.,I wish he would leave Deerfield alone.,3,2,I wish he would leave Deerfield alone.,7,high,3.0,7,low,high,medium,high,low,medium,2.6,2.0
385,I'm running late because I forgot my keys again,I told you silly.,6,1,"You forgot your umbrella today, didn't you?",I told you silly.,7,2,I told you silly.,9,high,1.0,4,low,high,low,low,low,medium,2.2,1.8
386,How can we improve our team's brainstorming sessions?,All ideas welcome.,7,1,Let's brainstorm some creative marketing slogans for our new product.,All ideas welcome.,10,2,All ideas welcome.,6,mid,1.0,3,medium,medium,medium,high,low,medium,2.2,2.0
387,"it's been a chilly week, don't you think?",Wednesday is definitely a hot chocolate day.,8,3,I'm craving for something warm and cozy today.,Wednesday is definitely a hot chocolate day.,8,1,Wednesday is definitely a hot chocolate day.,8,high,8.0,7,low,high,medium,high,low,low,2.2,2.0
388,Can you translate this contract from English to Spanish?,Can you do the Gallup contracts as well?,4,2,I've been asked to handle some new contracts.,Can you do the Gallup contracts as well?,8,2,Can you do the Gallup contracts as well?,7,high,4.0,8,low,medium,low,high,low,low,1.8,1.4
389,What did Steve Dowd say about the company's financial situation?,Apologize to Steve Dowd for me.,1,3,I'm sorry for misinforming Steve Dowd about the meeting time.,Apologize to Steve Dowd for me.,10,1,Apologize to Steve Dowd for me.,6,mid,3.0,6,medium,high,low,high,high,low,2.2,2.2
390,How are you feeling after the accident?,Thanks for your concern.,8,1,Have you heard about the recent earthquake in Japan?,Thanks for your concern.,10,2,Thanks for your concern.,8,high,1.0,4,low,low,low,high,low,low,1.4,1.0
391,Can you make it to our meeting on Wednesday?,Thursday works better for me.,7,2,Can we meet next week to discuss the project proposal?,Thursday works better for me.,8,2,Thursday works better for me.,9,high,2.0,5,low,low,low,high,high,low,1.4,1.0
392,What's the truth about your recent job interview?,Will reveal as appropriate.,6,2,Have you seen the secret documents from the government?,Will reveal as appropriate.,5,3,Will reveal as appropriate.,6,mid,12.0,4,low,low,low,low,low,low,1.0,1.0
393,how many staff members does the new office need?,One assistant and one HR associate.,8,2,Who will be attending the team meeting?,One assistant and one HR associate.,7,2,One assistant and one HR associate.,6,mid,7.0,6,low,high,high,high,high,low,2.2,2.2
394,The latest economic report suggests that the stock market will fluctuate wildly.,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,0,3,Have you heard about the recent financial negotiations between Joel Ephross and Jedi2/Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,5,2,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,1,low,12.0,9,low,medium,medium,high,low,low,1.8,1.6
395,Can you provide the restart plan update for our project?,Chase back office and their restart plan updates individually.,4,2,Have you received the latest updates from Chase's back office regarding their restart plan?,Chase back office and their restart plan updates individually.,5,2,Chase back office and their restart plan updates individually.,1,low,9.0,9,low,medium,low,high,low,low,1.8,1.4
396,Did Fran confirm the meeting for next Friday?,Lynn checked with Fran and she told her coordinator.,6,1,Have they confirmed the new project start date with HR?,Lynn checked with Fran and she told her coordinator.,7,2,Lynn checked with Fran and she told her coordinator.,5,mid,5.0,9,low,medium,medium,high,low,low,1.8,1.6
397,the financial regulatory commission has issued an order regarding our company,FERC has not issued an order yet.,8,2,Have you heard if FERC has made a decision on the hydroelectric dam project?,FERC has not issued an order yet.,8,2,FERC has not issued an order yet.,4,mid,3.0,7,medium,low,low,high,high,low,1.4,1.4
398,have we finalized the report yet?,Did we send the new version to K/M yet?,8,3,We need to prepare the report for the board meeting.,Did we send the new version to K/M yet?,8,2,Did we send the new version to K/M yet?,5,mid,0.0,9,low,high,medium,high,medium,low,2.2,2.0
399,did you finish the project?,I am all over it.,8,2,Have you finished preparing the marketing strategy for our new product?,I am all over it.,10,2,I am all over it.,7,high,2.0,5,low,high,medium,high,low,medium,2.6,2.0
400,can you respond to me later?,"I am on a plane, sorry.",7,2,"Hey, can you help me book a flight for next week?","I am on a plane, sorry.",5,2,"I am on a plane, sorry.",5,mid,1.0,6,low,low,low,high,low,medium,1.8,1.0
401,Have you noticed any changes in the market trend recently?,Has your 4th quarter changed?,8,3,I've just received my company's Q4 financial report.,Has your 4th quarter changed?,8,2,Has your 4th quarter changed?,7,high,2.0,5,low,medium,medium,high,low,low,1.8,1.6
402,when do we have the project review meeting scheduled for today?,9 AM update meeting.,8,1,Have you finalized the project timeline for next month?,9 AM update meeting.,8,2,9 AM update meeting.,2,low,0.0,4,medium,medium,low,high,low,low,1.8,1.8
403,When are you free to meet up tomorrow?,Tomorrow is fine,8,1,Shall we meet at the park next Tuesday?,Tomorrow is fine.,5,2,Tomorrow is fine,3,low,2.0,3,low,high,medium,high,low,high,3.0,2.0
404,I'm feeling exhausted from my morning workout,I guess that's additive to my stretch?,6,2,Have you finished reading the new marketing report?,I guess that's additive to my stretch?,5,3,I guess that's additive to my stretch?,2,low,4.0,7,low,low,low,high,low,low,1.4,1.0
405,how did he propose to her?,He especially loved the special kiss.,6,2,Did you read about his favorite childhood stories?,He especially loved the special kiss.,3,2,He especially loved the special kiss.,6,mid,7.0,6,low,low,low,high,low,low,1.4,1.0
406,Have you seen the company's latest announcement?,Did you hear Alice quit?,8,2,I saw Bob at the coffee shop with Alice today,Did you hear Alice quit?,7,2,Did you hear Alice quit?,5,mid,0.0,5,medium,medium,low,high,low,low,1.8,1.8
407,have we been meeting these deadlines consistently?,I think that we should enforce the agreement.,8,2,The company's profits have significantly dropped recently.,I think that we should enforce the agreement.,8,2,I think that we should enforce the agreement.,3,low,3.0,8,low,high,low,low,low,low,1.8,1.8
408,did you just eat the last slice of pizza?,Yes I did.,8,1,Did you finish the report on global warming?,Yes I did.,8,2,Yes I did.,7,high,1.0,3,low,low,high,low,high,high,1.8,1.4
409,What's the best way to get to the art gallery today?,Heading in to see Moody's.,8,2,Have you heard the latest news about the economic crisis?,Heading in to see Moody's.,5,3,Heading in to see Moody's.,5,mid,2.0,5,low,low,low,high,low,low,1.4,1.0
410,i know you're the one who started the fire at our school's library yesterday,I told you that you were a trouble maker!,8,2,I found your phone with an unknown number calling it repeatedly,I told you that you were a trouble maker!,5,2,I told you that you were a trouble maker!,3,low,4.0,9,medium,high,low,high,low,low,2.2,2.2
411,I need information about our project status?,Out of office but have people working on info.,4,2,I need an urgent report on Project X status,Out of office but have people working on info.,7,2,Out of office but have people working on info.,5,mid,4.0,9,medium,medium,medium,low,low,medium,1.8,2.0
412,How do pipes affect the water pressure in the system?,Little value to the pipes.,6,3,Have you checked the water pressure in the old house?,Little value to the pipes.,5,2,Little value to the pipes.,7,high,2.0,5,medium,low,low,high,low,low,1.4,1.4
413,Did you hear about Sarah and Mike?,Just looking to gossip.,8,2,Did you hear about the new CEO's controversial decision?,Just looking to gossip.,10,2,Just looking to gossip.,6,mid,4.0,4,low,low,low,low,low,low,1.0,1.0
414,the new employee at XYZ Inc. has finally signed the contract,Did he get a signing bonus?,6,2,The NFL team has announced their new quarterback.,Did he get a signing bonus?,8,2,Did he get a signing bonus?,6,mid,0.0,6,high,medium,low,high,medium,medium,2.2,2.2
415,I'm feeling so down today,What is the mood?,8,1,"The weather today is quite unpredictable, what is the mood?",What is the mood?,10,2,What is the mood?,8,high,-3.0,4,low,medium,low,high,low,medium,2.2,1.4
416,are you free to go shopping with me next weekend?,Tracey is coming next weekend.,6,2,I'd like to know if anyone's availability for a get-together next weekend?,Tracey is coming next weekend.,6,2,Tracey is coming next weekend.,4,mid,2.0,5,medium,low,low,high,low,low,1.4,1.4
417,can you confirm the accuracy of these numbers?,I have some more data coming.,4,2,Have you found any new sales figures for Q3?,I have some more data coming.,9,2,I have some more data coming.,7,high,2.0,6,low,low,low,low,low,low,1.0,1.0
418,did you really forget our anniversary?,I thought so.,8,1,Do you think the new project will require extensive coding?,I thought so.,8,2,I thought so.,7,high,1.0,3,low,low,low,high,low,high,2.2,1.0
419,Are you almost done with your quarter-end reports?,Still hustling to find dollars for the quarter end.,8,2,"With quarter end just around the corner, have you met your financial goals for this period?",Still hustling to find dollars for the quarter end.,5,2,Still hustling to find dollars for the quarter end.,4,mid,4.0,9,medium,high,medium,high,medium,low,2.2,2.4
420,Have we finally reached the climax of our project?,"Do we want to contest, if possible?",6,2,The market trend for our product seems to be shifting.,"Do we want to contest, if possible?",8,2,"Do we want to contest, if possible?",4,mid,4.0,7,medium,low,low,high,medium,low,1.4,1.4
421,Can you report to the office immediately?,John Millar to report.,8,2,Have you finished reading John Millar's report?,John Millar to report.,10,1,John Millar to report.,3,low,3.0,4,low,medium,low,high,low,low,1.8,1.4
422,did you enjoy our meeting this morning?,Sure was good talking to you this AM.,7,1,Did you enjoy the conference yesterday?,Sure was good talking to you this AM.,8,2,Sure was good talking to you this AM.,6,mid,1.0,8,low,medium,low,low,low,low,1.4,1.4
423,did you save the attachment from my last email?,"Never mind, I already deleted it.",8,2,did you save the project file?,"never mind, I already deleted it.",1,2,"Never mind, I already deleted it.",5,mid,5.0,6,low,low,low,low,low,medium,1.4,1.0
424,I need to drop off my luggage at the airport before my flight,When do you have to be there?,8,2,I need to be at the office by 9 am for an important meeting.,When do you have to be there?,10,1,When do you have to be there?,5,mid,3.0,7,high,high,low,high,low,medium,2.6,2.6
425,Can you help me come up with some ideas for the presentation?,He says he has some ideas.,6,2,Have you thought of a solution to our marketing problem?,He says he has some ideas.,8,2,He says he has some ideas.,6,mid,2.0,6,low,medium,medium,medium,low,low,1.6,1.6
426,did you resolve the issue with my credit card payment?,Still not resolved.,6,2,Have you found a solution to the coding issue in the database?,Still not resolved.,5,3,Still not resolved.,4,mid,1.0,3,medium,low,low,high,low,medium,1.8,1.4
427,Are you prepared for the apocalypse?,Try to survive!,8,3,"The storm is coming, what should we do?",Try to survive!,10,2,Try to survive!,3,low,1.0,3,low,low,low,high,low,low,1.4,1.0
428,Have you heard about Tim's latest business venture?,I hear Tim has huge problems.,6,2,Did you hear about the financial crisis at the new tech startup?,I hear Tim has huge problems.,8,3,I hear Tim has huge problems.,5,mid,1.0,6,medium,medium,medium,low,medium,low,1.4,2.0
429,are we there yet?,We are about to leave Heaven!,8,1,The gates of Heaven have opened!,We are about to leave Heaven!,8,2,We are about to leave Heaven!,8,high,1.0,6,medium,high,low,low,high,low,1.8,2.2
430,can you confirm the revocation of my rights?,Rescinding is what you meant to say.,4,3,Have you changed your mind about the meeting tomorrow?,Rescinding is what you meant to say.,6,2,Rescinding is what you meant to say.,5,mid,3.0,7,low,high,medium,low,low,medium,2.2,2.0
431,are you coming to meet me at the party tonight?,I am on my way.,8,1,I need you to bring the blue folder from work.,I am on my way.,8,2,I am on my way.,8,high,2.0,5,low,high,medium,low,low,medium,2.2,2.0
