,Unnamed: 0.1,Unnamed: 0,llama_prompt,llama_response,llama_story,llama_mem,llama_read,mistral_prompt,mistral_response,mistral_story,mistral_mem,mistral_read,original,mem_count_cer0,memorability,readability,words,llama_use_score,mistral_use_score
89,89,89,Have you finished your work for today?,I won't be home until 6.,Sarah was waiting for Alex's help with a task she needed to finish before the deadline. Alex had mentioned he wouldn't be home until 6.,4,2,Is it convenient for me to come over and lend a hand with the moving boxes later?,I won't be home until 6.,"Michael promised Lisa he would help her move house on Saturday. But unexpectedly, his boss asked him to work late and he wouldn't be home until 6.",7,1,I won't be home until 6.,7,high,7,6,0.27525082,0.21883108
90,90,90,Are you almost done with your call?,I am fine with this.,"Sarah wanted to discuss her new job with Tom, who was considering switching companies. However, Tom was already in the middle of a crucial phone call.",4,1,Is there a place where we won't encounter many bugs on our camping trip?,I am fine with that.,"Tom and Lisa were discussing their upcoming vacation plans. Tom suggested they go camping, but Lisa was hesitant due to her fear of insects. When Tom asked if he could try and find an insect-free campsite, Lisa responded.",7,1,I am fine with this.,7,high,7,5,0.077924356,0.13431805
91,91,91,Do you think we'll be able to enjoy the beach?,"Jane, what about this Thursday for lunch?","Jane and Mark were discussing their upcoming vacation plans. They had been looking forward to it for months, but the weather forecast was not promising.",4,2,Which day next week suits you best for lunch? I was thinking Thursday.,"Jane, what about this Thursday for lunch?","Jane had suggested Monday for their weekly catch-up but realized it clashed with Mark's appointments. She then proposed Thursday instead. However, she hadn't confirmed if that worked for Mark.",8,1,"Jane, what about this Thursday for lunch?",8,high,8,7,0.12853503,0.503273
92,92,92,Do you have any availability this afternoon?,Will 2PM ET work for you?,"Emily was trying to schedule an online conference with Michael to discuss their latest project. Emily needed to confirm the best time for the call, but Michael was in a busy office environment and not easily accessible.",8,1,"How about we schedule our call for this afternoon, Lisa?",Will 2PM ET work for you?,John needed to discuss some important business matters with Lisa before their deadline. Lisa mentioned that she would only be available after 2PM ET due to a prior commitment. John wanted to ensure they had enough time to cover all the necessary topics.,10,1,Will 2PM ET work for you?,7,high,7,6,0.39355016,0.24925172
93,93,93,You look like you're not having a great day today,What is happening to the stock price?,"Sarah was eagerly waiting for the market report, but her colleague, John, seemed distracted. She asked him about his morning routine, and he mentioned that something unusual was happening with their company's stock price.",4,2,What's your take on this new project I've been considering?,What is happening to the stock price?,"John and Lisa were discussing their investments during dinner. Suddenly, the news came on, reporting unexpected volatility in the tech sector. John looked concerned and asked Lisa about one specific stock.",7,2,What is happening to the stock price?,7,high,7,7,0.05098047,0.022772871
94,94,94,Do you ever think about going back?,"Once you do, you can never go back.","After leaving their comfortable life behind, Sarah and Emily started working on their passion project. However, they soon realized that it was too late to turn back.",6,2,"Lisa, I need to confess something to you.","Once you do, you can never go back.","Once Tom stole from the company fund, he felt a pang of guilt but couldn't return the money. His colleague, Lisa, discovered his secret and approached him about it.",5,2,"Once you do, you can never go back.",7,high,7,8,0.2597115,0.050918724
95,95,95,I've been trying to figure this out for hours,Can you help with this one?,"Jane was stuck on a math problem and turned to her friend Mark for help. However, Mark was busy studying for his exam.",6,1,Do you have any suggestions on how to solve this problem?,Can you help with this one?,"Tom was struggling with a complex equation while working late in the lab. He looked up to see Sarah entering, known for her expertise in mathematics.",10,1,Can you help with this one?,7,high,7,6,0.029424187,0.020146383
96,96,96,I think we should look into the requirements before deciding what to do.,Are you going to apply?,"Two friends, Emma and Ryan, had been considering attending a prestigious conference in their field. The deadline to apply was approaching.",7,2,Shall we submit our applications together?,Are you going to apply?,Mike and Lisa were considering applying for a joint fellowship program. They had been discussing the details of the application process but hadn't made a decision yet.,8,1,Are you going to apply?,7,high,7,5,0.057726666,0.18786122
97,97,97,How did you find out about their investigation?,Good to know that the FERC cares!,The FERC was investigating the recent pipeline failure that affected several communities. Emily and her family were relieved to hear that the agency was taking action to ensure such incidents don't happen again. Good to know that the FERC cares!,8,2,Have you received any updates regarding our electricity bill issue?,Good to know that the FERC cares!,Mark and Lisa were worried about the increase in their electricity bill. They believed it was due to the new power plant being built near their town by the Federal Energy Regulatory Commission (FERC). They contacted FERC to express their concerns and were reassured that the commission would look into it.,7,1,Good to know that the FERC cares!,3,low,3,7,0.093949355,0.19740489
98,98,98,Do you think there's any way we can still get registered?,"Ava, please put me on the list.","Emily wanted to attend the upcoming conference with her colleague, Ryan. However, the registration list was already full and she needed his help to get on it.",6,2,"Hey Ava, I'd love to help out with the charity event. Can I sign up for a shift?","Ava, please put me on the list.","Ava was organizing a charity event and needed more volunteers. She approached Tom, who had expressed interest during their last conversation. However, Tom mentioned that he had a prior commitment.",8,1,"Ava, please put me on the list.",8,high,8,7,0.07342136,0.29492778
99,99,99,Have you considered going bankrupt with your new venture?,Suggest you get facts before judging anyone.,"Emily had heard that Jack's new business was failing, but she didn't know the details. She decided to talk to him about it at a party.",6,2,Tom: I think it's best if we keep our dogs separated in the garden from now on.,Lisa: Suggest you get facts before judging anyone.,"Tom and Lisa were long-time neighbors, but recently they had developed a disagreement over the use of a communal garden. Tom believed Lisa's dog was destroying the flowers, while Lisa argued her dog was just playing. Neither wanted to back down.",5,1,Suggest you get facts before judging anyone.,8,high,8,7,0.11089039,0.068778425
100,100,100,How's your detox process going?,I am now officially a Blackberry addict.,"As she scrolled through her Blackberry messages, Emma noticed that her friend Alex was going through withdrawal. She had lent him hers the day before and he couldn't stop checking it for updates. Now, he was officially hooked.",7,2,"Lisa: Hey Mike, I heard from Anne that she's having some financial problems. Would you be able to help her out?",Mike: I am now officially a Blackberry addict.,"Mike and Lisa were good friends since college days. They both had successful careers in tech industry but their free time was spent on their smartphones. Mike had recently purchased a new Blackberry and was spending long hours browsing the internet and sending messages. Lisa, sensing his obsession, planned to surprise him with a concern about an old friend.",5,1,I am now officially a Blackberry addict.,9,high,9,7,0.09609944,0.07212469
101,101,101,Do you think we'll ever get out of this city's rush hour?,Have I mentioned how much I love Houston traffic?,"Samantha was frustrated with her day as she was stuck in traffic. She finally arrived at the office and bumped into her coworker, Alex. They started chatting about their shared hatred for Houston traffic.",7,2,What's making you so happy in this traffic?,Have I mentioned how much I love Houston traffic?,"Mike and Sara were stuck in their cars during a heavy Houston traffic jam. Sara was frustrated and grumbling about the situation, but Mike seemed to be enjoying himself.",3,2,Have I mentioned how much I love Houston traffic?,9,high,9,9,0.26063794,0.3694681
102,102,102,"You're still looking for a job, aren't you?",Take what you can get.,"Samantha was excited to share her new job offer with Alex, but she knew he was struggling to find employment. Despite this, she decided to take what she could get.",6,2,What's your best offer for the antique table?,Take what you can get.,"Michael and Lisa were trying to sell their old furniture before moving. They had received various offers but were struggling to accept any as they hoped for better deals. Suddenly, a man appeared at their doorstep with an offer for their antique table. Michael and Lisa looked at each other in doubt.",4,1,Take what you can get.,10,high,10,5,0.1057125,0.18328112
103,103,103,I think we need a more streamlined approach for our international transfers.,Should systems manage the migration?,"As companies began to expand their workforce globally, they faced the challenge of relocating employees across borders. For this reason, Emma and Ryan were discussing whether their company's systems should manage the migration process.",8,2,"What's your opinion on how we should approach this transition, considering the complexities involved?",Should systems manage the migration?,Mark and Lisa are responsible for managing the IT infrastructure of their company during a period of transition. Should they automate the migration process or handle it manually?,5,2,Should systems manage the migration?,8,high,8,5,0.20724906,0.12686308
104,104,104,Do you think we'll get a verdict today?,Shelley (making good use of my jury duty time),"Shelley was feeling anxious as she waited for the jury deliberation to resume. To pass the time, she took out her book and began reading. Across from her sat Jack, who was also making good use of his jury duty time.",8,2,What's your recommendation for a new novel to read?,Shelley (making good use of my jury duty time),"Shelley sat on the jury bench, making good use of her time by catching up on emails. Across the room, Tom was deeply engrossed in a book.",5,1,Shelley (making good use of my jury duty time),1,low,1,9,0.10182226,0.19523056
105,105,105,Do you really think your plan will work?,I think that is the right answer.,"Sarah and Emily were discussing the best approach to solve their company's financial crisis. Sarah thought they should cut expenses immediately, but Emily believed that would harm employee morale. In the end, Emily convinced Sarah that her plan was better.",8,2,What do you think about investing our savings in this tech company?,"I think that is a sound decision, given the company's recent growth.","Tom and Lisa were trying to decide on the best investment for their savings. Tom suggested buying stocks in a tech company, while Lisa preferred investing in real estate.",8,1,I think that is the right answer.,8,high,8,7,0.06283982,0.15356623
106,106,106,Why did you miss my call yesterday?,Next time ask Jim to call me.,"Sarah had to ask John for help with her project, but he was out of town and not available. Next time she needed assistance, she wished she could have reached him.",7,2,Is Jim the best person to speak with regarding that new project?,Next time ask Jim to call me.,"Marta needed to discuss an important business matter with Tom. But Tom was currently unreachable, as he had asked Jim to contact him instead.",7,1,Next time ask Jim to call me.,7,high,7,7,0.27761555,0.2788005
107,107,107,How's the project coming along?,"Target customers: Munis, Wapa, BPA.","Munis, Wapa, and BPA were business partners who had been working on a new project for months. They finally met at the office to discuss its progress.",7,2,"Hey Lisa, have you had any recent success in expanding our customer base in the municipal sector?","Our target customers are Munis, Wapa, and BPA.","Mark and Lisa work for different utility companies targeting Municipalities, Water Authorities, and Power Administrations (Munis, Wapa, BPA) as their main customers. They were discussing the latest industry trends during their lunch break.",7,1,"Target customers: Munis, Wapa, BPA.",1,low,1,5,0.04552985,0.17288971
108,108,108,Have you found a solution to your absence?,Can I meet with you at 4:00?,"Sarah was concerned about her colleague, Alex, who had been absent from work for several days. She wanted to discuss the situation with him. However, Alex was in a meeting at his current location.",6,2,May I have a few minutes of your time later today to go over some project details?,Can I meet with you at 4:00?,"Tom has an important proposal to discuss with Lisa regarding their new project. However, she is currently in a training session and cannot be disturbed for long.",9,1,Can I meet with you at 4:00?,2,low,2,7,0.095566496,0.09365183
109,109,109,What do you think of my artwork?,I'm glad you liked it.,"Samantha had spent hours preparing for her art show, and finally the day had arrived. Rachel walked into the gallery, took one look at Samantha's work, and beamed with pride.",7,1,May I show you something I made lately?,I'm glad you liked it.,Sarah showed Tom a painting she had created during her art class. Tom was impressed and complimented her on her work. Sarah was glad she could share her passion with him.,7,1,I'm glad you liked it.,8,high,8,5,0.17713541,0.02204566
110,110,110,How do you approach team building in your projects?,I've never worked with her.,Sarah and Tom were planning a new project at the office. Sarah had never worked with Tom before.,4,2,"Hey Tom, I've been looking forward to working with you on this project.","I've never worked with you before, Michael.","Tom is the new project manager at Acme Inc. Michael, an experienced software engineer, has heard good things about Tom but they have never worked together before. Michael runs into Tom in the office kitchen.",8,1,I've never worked with her.,9,high,9,5,0.17896205,0.10787921
111,111,111,Do you have time to help me with the school project?,Get with Mary for format.,"Mark was preparing for an important presentation at work and Jane wanted him to help her daughter Mary with the format of her school project. However, Mark's boss had called an unexpected meeting.",5,1,Can we schedule a time to discuss the formatting details of our report?,Get with Mary for format.,Mark and Lisa were working on a team project with their colleague Mary. They had to submit their report in a specific format. Mark realized they needed Mary's input for the final layout.,8,1,Get with Mary for format.,9,high,9,5,0.054469228,0.14968693
112,112,112,How's your workload been lately?,I hope you are feeling better.,Sarah had been struggling with her new job and was feeling overwhelmed. Her friend Emily wanted to check in on her. She hoped Sarah was doing better.,6,2,"Hey Tom, how are you feeling today?",I hope you are feeling better.,"Tom had been under the weather for a few days and his colleague, Lisa, noticed he hadn't been himself at work. She hoped he would recover soon.",10,1,I hope you are feeling better.,8,high,8,6,0.13647541,0.26297545
113,113,113,How's the new place treating you?,I'm glad she likes her tree.,Sarah had been worried about her friend Emily's recent move into a new home. She was thrilled to hear that Emily loved her new tree-lined backyard.,6,2,Did Amelia mention anything about her cherished tree today?,I'm glad she likes her tree.,"Mark and Lisa had recently bought Amelia a beautiful cherry blossom tree for her birthday. They were delighted to see that she spent hours playing around it every day. One afternoon, Mark overheard Lisa praising Amelia's new favorite tree.",10,1,I'm glad she likes her tree.,8,high,8,6,0.09038197,0.36283237
114,114,114,What are our options for the party venue?,Are you getting all the information you need?,"Jane and Mark were trying to finalize the details of their daughter's birthday party. They needed to decide on a venue, but Jane was concerned about getting all the information she needed.",6,1,Can we confirm the number of guests for the party?,Are you getting all the information you need?,"Tom and Lisa were planning a surprise party for their friend's birthday. They needed to finalize the guest list and decide on a venue. However, Michael was unreachable as he was in an important negotiation at work.",8,1,Are you getting all the information you need?,10,high,10,8,0.13037616,0.13009287
115,115,115,Did you receive my email about Mary's grades?,I would expect an answer ASAP.,Mark had been waiting for Jane's response to his email regarding their daughter Mary's school performance. He would expect an answer ASAP.,6,2,Can you give me an update on Tom's favorite foods and any dietary restrictions we should consider for the party?,I would expect an answer ASAP.,"John and Lisa were planning a surprise birthday party for their friend Tom. However, they needed to finalize the guest list and make last-minute arrangements. They contacted Tom's best friend, Mike, who they assumed would have all the necessary information.",6,1,I would expect an answer ASAP.,7,high,7,6,0.15120074,0.14080527
116,116,116,Do you think we should revise our timeline?,I think your outlined measures sound fine.,"Sarah and Emily were discussing their project's progress. Sarah had outlined some measures to ensure its success, while Emily was skeptical. However, after reviewing the plan, Emily seemed convinced.",6,1,"Sarah, what do you think about increasing our marketing budget by 10%?",I think your outlined measures sound fine.,"Mark and Lisa were discussing the budget for their upcoming project. They had agreed on most items but were still debating the allocation for marketing expenses. Sarah, their team member, entered the room with some new data.",8,1,I think your outlined measures sound fine.,7,high,7,7,0.089341715,0.13516739
117,117,117,Do you think we should see a specialist?,Did you talk to Ava this morning?,Jane and Mark were trying to decide whether to take their daughter Ava to the doctor. They had been putting off the visit for weeks.,6,2,Why wasn't Tom at our usual morning meeting spot?,Did you talk to Ava this morning?,"Tom and Lisa were planning a surprise birthday party for their mutual friend, Ava. However, Tom had forgotten to inform Lisa about the time of their morning meeting. When Lisa arrived at the cafe, she was surprised not to find Tom there.",5,1,Did you talk to Ava this morning?,10,high,10,7,0.105356164,0.24091539
118,118,118,Do you think we'll find anything valuable up here?,We have lots of paper stuff.,John and Emily were going through old files in the attic. They found a lot of papers and documents that needed to be sorted out. John was frustrated with all the clutter and Emily started organizing the paper stuff.,6,1,Do we need to go through all these files right now?,We have lots of paper stuff.,John and Lisa were organizing their home office when they came across numerous folders filled with important documents. They realized that they had been accumulating paperwork for years.,8,1,We have lots of paper stuff.,7,high,7,6,0.11660068,0.09026022
119,119,119,How's your schedule looking this week?,We can discuss options early next week.,"Sarah was excited to discuss her job offer with Alex, who had been considering it for weeks. However, Alex was busy and promised to call Sarah soon to talk about the options.",6,2,What do you suggest we do about deciding on the kitchen countertops?,We can discuss options early next week.,"Tom and Lisa are planning a home renovation project. They have several choices to make about the design and materials. However, they both have conflicting schedules and need more time to review their options.",8,1,We can discuss options early next week.,7,high,7,7,0.22744684,0.24033755
120,120,120,What do you think their chances are of selling within the next quarter?,It's not looking too good is it?,"The Smith's house was on the market for months, but they still hadn't received an offer. The real estate agent told them it might take some time to sell due to the economic downturn. It's not looking too good is it?",8,2,The last quarter's sales figures are disappointing.,It's not looking too good is it?,"Mike and Lisa were examining the financial reports for their small business. The numbers showed a significant decrease in sales for the past quarter. Lisa looked concerned and said to Mike, 'What's going on here?'",8,1,It's not looking too good is it?,9,high,9,7,0.12790851,0.08592175
121,121,121,Did you hear the latest news about our old neighborhood?,Has anyone else heard anything?,"Jane wanted to tell Mark that the news report about their old neighborhood was disturbing. However, Mark was at work and engaged in a serious discussion.",8,2,Have you heard anything from Tom lately?,Has anyone else heard anything?,"Michael and Lisa were working on a project at the office. They had been trying to get in touch with their team member, Tom, about an important update but hadn't heard back from him. Other team members suggested checking with HR if Tom was on leave or if there were any issues with his employment status.",8,1,Has anyone else heard anything?,8,high,8,5,0.15014896,0.1989598
122,122,122,I've been trying everything at home but it seems like nothing is working.,I went to see a doctor.,"Sarah was worried about her husband, John's, persistent cough. She decided to go see a doctor to get some advice on what to do.",6,1,"What have you been up to today, Lisa?",I went to see a doctor.,Tom had been feeling unwell for several days and decided it was time to seek medical advice. He made an appointment with his doctor for later that afternoon.,8,1,I went to see a doctor.,3,low,3,6,0.0557967,0.22141093
123,123,123,Do you think you'll be able to get out of there soon?,"Ava, LA was Socal meeting.","Ava and Lucas had planned to meet up for the weekend, but Lucas was stuck in a meeting with some important clients. Ava decided to wait for him outside the conference room.",8,1,Is the Socal branch open today? I'd like to go there to discuss some important matters.,"Ava, LA was Socal meeting, but unfortunately, it was canceled due to the storm.","Ava and Leo were supposed to meet at the Socal branch in Ava, LA for a business deal. But unexpectedly, a storm hit the area and forced Leo to postpone the meeting.",8,1,"Ava, LA was Socal meeting.",1,low,1,5,-0.0034740428,0.24185055
124,124,124,Do you think we should report this to the authorities?,I'll presume it is dead until I hear otherwise.,"As the days went by, Sarah grew more and more concerned about her missing brother, Jack. She had heard nothing from him since he left on his expedition into the wilderness. I'll presume it is dead until I hear otherwise.",6,2,"Laura, have you heard anything about the loan application?",I'll presume it is dead until I hear otherwise.,"Tom and Laura were trying to revive their dying business. They had applied for a new loan but hadn't heard back yet. In the meantime, they were struggling to keep things afloat. Laura received an unexpected call from Tom, who assumed the worst.",5,1,I'll presume it is dead until I hear otherwise.,2,low,2,9,0.025188427,0.1076888
125,125,125,What's going on with the project?,I just tracked down Steve.,Sarah had been trying to reach John all day to discuss their project deadline. She was starting to get worried that he wasn't responding because he was avoiding her. I just tracked down Steve.,6,2,"Hey Steve, long time no see! I saw your post and it got me thinking about the good old days.",I just tracked down Steve.,"Lisa had been searching for her old friend, Steve, for years after losing contact. One day, while browsing social media, she discovered a post tagging him in a photo from his recent vacation.",8,1,I just tracked down Steve.,7,high,7,5,0.048875056,0.18147346
126,126,126,Do you think we'll meet the deadline?,What will happen to this project?,"The project deadline is approaching fast and Emma was worried about its completion. She wanted to discuss it with her colleague, Ryan, who was working on the design part. However, Ryan was preoccupied with a personal issue.",5,2,Do you have any updates on the project budget?,What will happen to this project?,"The project team was eagerly awaiting the outcome of their latest proposal. The CEO, however, had yet to make a decision and was consulting with the financial department.",6,2,What will happen to this project?,7,high,7,6,0.0906003,0.2695971
127,127,127,Did you really manage to get hold of Mark?,Mark Ellenberg is off for Passover.,"Mark Ellenberg was planning a trip with his friends, but Sarah had been trying to schedule a meeting with him for weeks. She finally managed to get in touch with him and asked if they could meet up that afternoon.",8,2,"Hey Mark, I know you're off for a few days soon, do we need to catch up on anything before your break?",Mark Ellenberg is off for Passover.,"Mark Ellenberg is a devoted family man who observes Passover every year. This year, the holiday falls during his usual work days. Jane, his colleague and friend, heard about his plans and wanted to discuss some work-related matters before he leaves.",8,1,Mark Ellenberg is off for Passover.,3,low,3,6,0.14879325,0.28789324
128,128,128,Do you have a minute to talk about the project?,I saw your 5:30 AM message!,"Alex wanted to discuss the project deadline with Ryan. However, Ryan was still asleep at 5:30 AM and hadn't checked his messages yet.",6,2,"Good morning Lisa, I hope you are well. I wanted to share some thoughts on our project schedule.",I saw your 5:30 AM message!,"Michael had sent an important email to Lisa at 5:30 AM regarding their project's timeline. However, she was still asleep and only checked her emails upon waking up late in the morning.",8,1,I saw your 5:30 AM message!,0,low,0,6,0.07782188,0.15743366
129,129,129,Do you know when David will be back in the office?,I am snowed under and out of the office.,"Emily was feeling overwhelmed with work and decided to take a break. However, she couldn't reach her colleague, David, who was snowed under and out of the office.",8,1,"Hey Lisa, do you have a minute to discuss the new marketing strategy for the upcoming project?",I am snowed under and out of the office right now.,Tom and Lisa were both overwhelmed with work during the busy season. Tom had piles of reports to finish while Lisa had numerous client emails to respond to.,5,2,I am snowed under and out of the office.,7,high,7,9,0.15840061,0.07456352
130,130,130,Is your work schedule looking clear this week?,I plan to be in the office tomorrow.,"Emily is excited for her son's birthday party on Saturday. However, Ryan will be busy with work and plan to be in the office tomorrow.",6,2,"Hi Tom, do you have some time for a quick discussion about Project X tomorrow?","Yes, I plan to be in the office tomorrow.","Anna was expecting an important package delivery at her office. She hoped to discuss some project details with Tom, who worked in the same building but had an unpredictable schedule. One day, she received a notification that he would be available the following day.",9,1,I plan to be in the office tomorrow.,7,high,7,8,0.32225028,0.18729313
131,131,131,Is everything okay? You seem really focused right now.,I am unavailable for the 1PM meeting.,"Sarah was excited to discuss the new project with her colleague, Alex. However, Alex had an unexpected task that required his immediate attention at 1PM.",8,2,"Hey Tom, could we discuss some ideas for the new marketing campaign?",I am unavailable for the 1PM meeting.,Tom had an important deadline for his project and needed Lisa's feedback. But she was unexpectedly called into a last-minute meeting with the CEO at 1PM.,8,1,I am unavailable for the 1PM meeting.,3,low,3,7,0.13029683,0.095463805
132,132,132,Do you know where we're going tonight?,I am looking forward to the salad.,John was excited for his friend Emily's birthday party. He had planned an evening out with her to celebrate the special day. Emily loved trying new restaurants and John knew just the place.,6,1,What do you think about trying that new Italian place instead?,I am looking forward to the salad at the new place we're going to.,"Michael and Lisa were making plans for their weekly dinner. Michael was excited to try out the new restaurant downtown that served fresh salads. Lisa agreed, mentioning how much she loved the taste of fresh greens.",8,1,I am looking forward to the salad.,7,high,7,7,0.18094857,0.2127039
133,133,133,Do you think we should make it a staycation or take a trip instead?,We're planning to go to West Virginia for Christmas.,"Sarah had been looking forward to the holidays all year. She decided to invite her best friend, Emily, over for Christmas dinner, but then they came up with a better idea - going on a road trip together. They're planning to go to West Virginia for Christmas.",8,2,What about going somewhere warm for the holidays instead?,We're planning to go to West Virginia for Christmas.,Tom and Lisa were discussing their holiday plans. They had not decided on a destination but were considering going to West Virginia for Christmas.,8,1,We're planning to go to West Virginia for Christmas.,3,low,3,9,0.30348432,0.21456294
134,134,134,"So, should I expect to talk to Alex directly?",Is that EOTT or the company that owns it?,"Sarah was excited to finally meet Alex, the CEO of EOTT, a leading company in the tech industry. However, she wasn't sure if she would be meeting Alex himself or one of his representatives.",6,2,The email seems urgent. Shall I handle it?,Is that EOTT or the company that owns it?,"Mark and Lisa were discussing the acquisition of a new business. Suddenly, Mark received an email with the subject line 'EOTT Renewal'. Lisa asked him to check if it was an important email from EOTT or if it was regarding the company that owned EOTT.",7,1,Is that EOTT or the company that owns it?,7,high,7,9,0.03912663,0.11264868
135,135,135,Do you know who can advise me?,You can talk to Becky!,Jane was looking for someone to help her with some problems she had been having at work. She knew that Becky was an expert on the topic and was available to talk.,8,1,"I feel like I'm at a dead end, Lisa.",You can talk to Becky! She's great at listening and offering advice.,"Tom and Lisa were good friends. Tom had been going through a difficult time lately, dealing with the loss of his job. Lisa listened sympathetically but felt helpless in offering solutions. One day, as they sat together at their favorite café, Tom opened up about his frustrations.",7,1,You can talk to Becky!,9,high,9,5,0.0505535,0.06557072
136,136,136,What's our next step now that we've finalized the agreement?,I agreed terms with Greg.,"After discussing some business with Greg, Rachel and him agreed on the terms of their partnership. They were excited to start their new project together.",6,1,Can I discuss the final details of the vase purchase with you?,I agreed terms with Greg.,"Greg and Lisa were negotiating the sale of an antique vase. Lisa was hesitant about the price, but Greg managed to convince her.",6,1,I agreed terms with Greg.,8,high,8,5,0.085701495,0.12393207
137,137,137,Can I join you for a walk?,I am at the lake.,Alex was feeling stressed and needed some time to clear his mind. He decided to take a break and visit Sarah at the lake.,5,1,Is it still a good idea for us to go to the lake today?,I am at the lake.,"Michael and Lisa were planning a picnic by the lake. Michael had prepared sandwiches, while Lisa was in charge of the drinks. Suddenly, it started raining.",8,1,I am at the lake.,8,high,8,5,0.13949741,0.38724428
138,138,138,Do you think our friend is doing anything to help the community?,I wish he would leave Deerfield alone.,Tom and Sarah had been arguing about their friend's recent behavior towards Deerfield. Tom was frustrated because he felt their friend was taking advantage of the small town. Sarah wished her friend would leave Deerfield alone.,6,2,May I ask where this week's gathering will be held?,I wish he would leave Deerfield alone.,"Sara and Tom lived in the quiet town of Deerfield. Tom had always been an outsider and Sara wished he would leave their peaceful community alone. However, every week he held a meeting at the local community center that attracted unwanted attention.",5,1,I wish he would leave Deerfield alone.,7,high,7,7,0.04364886,0.066417985
139,139,139,How's your day going so far?,Wednesday is definitely a hot chocolate day.,Sarah and Emily decided to take a break from their busy schedules on Wednesday. They met at the café and indulged in some hot chocolate to warm up.,8,2,Do you fancy making an exception and having our hot chocolate session tonight?,Wednesday is definitely a hot chocolate day.,"Amelia and Tom were looking forward to their weekly catch-up over a cup of hot chocolate. It was their tradition on Wednesday evenings to unwind after a long week. However, the past few days had been particularly chilly.",10,1,Wednesday is definitely a hot chocolate day.,8,high,8,7,0.16045354,0.34253263
140,140,140,How's it going with the booth setup?,Can you do the Gallup contracts as well?,Emily and Ryan were discussing their marketing strategy for the upcoming conference. Emily was responsible for handling the speaking engagements while Ryan managed the booth arrangements.,4,2,"Hi Lisa, I understand Tom has been unwell lately. Could you perhaps help me out with the Gallup contracts for a while?",Can you do the Gallup contracts as well?,"Tom and Lisa work on Gallup contracts for their company. One day, Tom falls ill and is unable to continue working on his projects. Lisa hears about this from their supervisor and is asked to take over Tom's tasks temporarily.",8,1,Can you do the Gallup contracts as well?,7,high,7,8,0.006467602,0.36331692
141,141,141,Why is Friday not working out for you?,Thursday works better for me.,"Sarah needed to discuss her project with Alex, but he was unavailable on Friday. She decided to try for Thursday instead.",6,2,What day next week works for you?,Thursday works better for me.,"Michael suggested that he and Lisa meet next week to discuss their shared project. However, she mentioned that Thursday would be best for her.",9,1,Thursday works better for me.,9,high,9,5,0.4088246,0.55343425
142,142,142,Do you think this is a good idea?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,"Joel Ephross was trying to reestablish his economic interests with Jedi2 and Whitewing. He had previously sold some shares, but now wanted to regain control of the companies. Joel's business partner, Rachel, was hesitant about the move.",6,3,What can you tell me about your recent dealings with Jedi2 and Whitewing?,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,"Joel had been discussing potential business deals with the Jedi2 and Whitewing corporations. Suddenly, the economic interests of these companies in past swaps came under scrutiny. Jane, a journalist, wanted to delve deeper into this issue.",5,3,Joel Ephross on issues reacquiring economic interests/swaps from Jedi2/Whitewing.,1,low,1,9,-0.007675482,0.08726222
143,143,143,How are the restart plans coming along?,Chase back office and their restart plan updates individually.,"John and Emily were discussing the recent changes at their workplace. John was concerned about the impact on his team's workflow, while Emily was focusing on the restart plan updates for Chase back office.",6,2,"Hey Tom, do you have a moment to talk about our ongoing project?",Chase back office and their restart plan updates individually.,Chase and their team were working on updating their restart plan individually when Sam approached Tom's desk. Sam wanted to discuss the progress of a project that relied on both their teams.,7,1,Chase back office and their restart plan updates individually.,1,low,1,9,0.30770683,0.057568185
144,144,144,What's the plan for handling Emily's behavior?,I am all over it.,"Jane and Mark were dealing with the consequences of their daughter, Emily, getting into trouble at school. Mark was trying to help Jane figure out what to do about it, but he was also worried about an important project deadline.",8,1,What do you think about exploring this idea I heard at the conference?,I am all over it. Let's look into that and see if it could work for us.,"Tom and Lisa were working on a project for their company. They had hit a roadblock but Tom was confident they could find a solution. Lisa mentioned a potential idea she had heard about at a conference, but Tom was already exploring other options.",7,1,I am all over it.,7,high,7,5,0.123053715,0.038513158
145,145,145,I've been thinking a lot about my future at the company.,Has your 4th quarter changed?,"After months of planning, Sarah was excited to share her new career goals with her colleague, Emily. However, Emily was still adjusting to the changes brought about by their company's 4th quarter restructuring.",6,2,"Lisa: I've got some exciting news about our sales for the 4th quarter, but you need to hear it now!",John: Has your 4th quarter changed?,"John and Lisa were discussing their business performance for the year. With only a month left in the fiscal year, they wondered how their 4th quarter would impact their profits. Lisa had recently received some promising sales reports, while John was still reviewing the financial data.",7,1,Has your 4th quarter changed?,7,high,7,5,0.036648195,0.15217459
146,146,146,What's your secret to success?,I guess that's additive to my stretch?,"After several months of struggling with his new job, Alex finally found some momentum and was getting ahead. His colleague, Ryan, noticed the change and asked if he had any advice on how to achieve similar results.",4,2,What's the latest with your projects?,I guess that's additive to my stretch?,"Mark and Lisa were discussing their work projects when Mark mentioned he had to take on an additional responsibility. Lisa, who was already swamped with her own tasks, replied that she also had some new assignments.",6,1,I guess that's additive to my stretch?,2,low,2,7,0.17366028,0.09358248
